date,tempHi,tempLo,tempAv
2019-03-13,58.77,43.98,51.375
2019-03-14,70.18,62.58,66.38
2019-03-15,70.64,44.9,57.769999999999996
2019-03-16,55.54,35.17,45.355000000000004
2019-03-17,52.56,35.12,43.84
2019-03-18,45.89,30,37.945
2019-03-19,49.37,27.96,38.665
2019-03-20,53.05,39.71,46.379999999999995
